Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9898875527182025,0.015132496248105328,0.6073668257347838,0.5919540929794311,22.262648567353267,0.6182873480460223
2,1.0009740795204025,0.01032263766661911,0.20476877442006455,0.2023234085253317,22.732123950170788,0.6525132136485156
3,0.99999999954315,0.009753139108464032,4.358318696027035e-09,3.433482662017597e-09,22.958148886523805,0.6625298993727741
4,1.0,0.009195707467367906,4.179452325729131e-09,4.187302673034148e-09,22.319951235389976,0.659150996208191
5,1.0,0.009029740354570444,4.004969399684179e-09,3.6075372873941654e-09,23.07597321593932,0.6741647952444413
6,1.0,0.008934996701598525,3.6757569474814646e-09,3.686736938177232e-09,22.91951571003259,0.669996553028331
7,0.999999999314725,0.008958122374679514,4.889171662176426e-09,4.005573462245959e-09,22.756402852341488,0.6734584975943846
8,0.999999999771575,0.008585782109084958,4.157230288305367e-09,4.258446867016608e-09,23.263980609446616,0.6805625342621523
9,0.999999999771575,0.008433933610286184,3.999243996538582e-09,3.7865758973863e-09,22.991354397969353,0.6805221580757814
10,1.0,0.008456256251090657,3.6191729758681084e-09,3.274352971096346e-09,23.372163627618395,0.6854761276525609
11,1.0,0.008318267761322553,3.7177606679699504e-09,3.732324158104354e-09,23.0484773539142,0.6788404775367064
12,1.0,0.008219969529145492,4.425093677858402e-09,3.99156569907301e-09,23.118050945726935,0.6861322393838097
13,0.99999999954315,0.008244029587346637,4.453163553676661e-09,3.874213152231246e-09,23.356204030773654,0.686622657214894
14,1.0,0.008133044408377773,4.139440497041846e-09,3.916287023378135e-09,23.471448421925484,0.6892534714586595
15,1.0,0.008083960017758214,4.0223187974509125e-09,3.9334810804943465e-09,23.352887234451178,0.6846876323924345
16,0.999999999771575,0.009330849511894636,4.229494749194346e-09,3.811266500541134e-09,4.123027860110232,0.2806603396903066
17,1.0000000018273998,0.06460759964888681,3.6946134008462787e-09,4.701293644469064e-09,20.410708645488015,0.5168707046789282
18,0.999999999314725,0.01176112700075268,4.468598912270064e-09,3.90394474347212e-09,22.499802511280826,0.6306136072733823
19,0.9999999990863001,0.009597662501260193,4.464208210974508e-09,4.103777894722833e-09,22.64751910081682,0.6556016338572782
20,0.99999999954315,0.009111177837643437,4.271826609812671e-09,4.34627636417145e-09,22.924872380837552,0.6585550555060892
21,0.99999999954315,0.008942286013486143,4.296275809736101e-09,3.865074835886758e-09,23.02868615859336,0.662941377583672
22,0.999999999771575,0.008634582162795666,4.028262291610818e-09,3.7177179182141196e-09,23.011107026845355,0.663517677152858
23,1.0,0.008490916639120279,3.5813309870441658e-09,3.55606959236484e-09,23.155868457602576,0.6686449035476236
24,0.99999999954315,0.008474190995364846,4.1078759709524945e-09,3.928674889912434e-09,23.319619622906224,0.6729566353208879
25,1.0,0.008374935216354039,3.557687887363844e-09,3.296102161748393e-09,23.28899263493178,0.675075371055042
26,0.999999999771575,0.008253750844362253,3.725809300389177e-09,3.5164746396723574e-09,23.33587690920449,0.6740884841189665
27,1.000000000228425,0.008407065958944623,4.349309185351272e-09,4.322903124340831e-09,23.204848505771615,0.6765400256128872
28,0.999999999771575,0.008230729890976124,4.830450378851557e-09,4.649763876976593e-09,23.299674732319858,0.6796511233554167
29,0.999999999771575,0.008105784158952935,4.193428018268506e-09,3.832812508964986e-09,23.406119312866526,0.6788166379227357
30,1.0,0.008178326744073166,4.372748504632519e-09,4.239346296390459e-09,23.439849388401793,0.684077767273959
31,1.0,0.00803311007978495,4.218984457974167e-09,3.926938076936892e-09,23.46350078943845,0.6843347768923815
32,0.999999999314725,0.007989240629587344,4.972158195855909e-09,4.747421291693037e-09,23.451010034073914,0.6869908870668973
33,0.9999999997858515,0.008039952258016177,4.496580195295873e-09,4.23263280828836e-09,23.319463179162593,0.6758088414809283
34,1.0,0.00804642505743011,4.306144400364748e-09,4.2869718316291945e-09,23.468125480889604,0.68448604555691
35,0.99999999954315,0.00793865110301329,4.2751278591996336e-09,4.065294518317122e-09,23.499600709295848,0.6886388336910921
36,0.99999999954315,0.007882465908671924,4.711898891302601e-09,4.56706475458948e-09,23.502784295841543,0.6868513016840991
37,0.999999999771575,0.007819760550973479,4.8321623355224594e-09,4.8105613859106144e-09,23.379093462410182,0.6813361613890704
38,0.99999999954315,0.00789548450757465,5.247037901014636e-09,4.9042010656865746e-09,21.38919011635729,0.6213642238168156
39,1.00000000045685,0.00802615392886236,5.2875856526779106e-09,5.215080796746403e-09,23.539799011055386,0.690577865488389
40,0.99999999954315,0.007842832943591886,4.9677240243695e-09,4.745327727136458e-09,23.551209835455566,0.6867215378845439
41,1.0,0.007770542353168576,4.958815264359033e-09,4.692861258342175e-09,23.57937114060394,0.6895958021809073
42,1.0,0.0076747645307220745,4.957848785220131e-09,4.880707024110769e-09,23.578054015026645,0.691339774833006
43,0.9999999990863001,0.007832746024126421,6.160778978786231e-09,5.9226129736118435e-09,23.529858862040946,0.6817451554186204
44,1.0,0.007835882185417378,5.687251600227074e-09,5.724146928323831e-09,23.498519451777288,0.690194511904436
45,1.0,0.0077517762703229924,4.712961740738475e-09,4.650030867930223e-09,23.60860674191962,0.6906321609020233
46,0.99999999954315,0.00764064666664529,5.811808634242012e-09,5.75312914755648e-09,23.626040815080877,0.6881121554795433
47,0.999999999771575,0.008525491616950778,4.5671264842128885e-09,4.45192066668573e-09,23.405467123347876,0.6763217067017274
48,0.999999999314725,0.0078055237476786455,5.030660334185881e-09,4.693766145950798e-09,23.57533129023954,0.6838780950798707
49,0.999999999771575,0.007763652545650919,5.891876669318361e-09,5.6552894760488725e-09,23.602588418054253,0.6879525542960447
50,1.0,0.007698813820715079,6.1448783432208536e-09,5.859453468959596e-09,23.59891936758627,0.6917450885912951
51,0.999999998857875,0.008051348717738233,7.3002355602773765e-09,6.830790594741953e-09,23.54483190537472,0.6772519913140466
52,0.999999999771575,0.007701859512327317,8.617808304731716e-09,8.47740599517934e-09,23.596257467694382,0.689400959926493
53,0.99999999954315,0.007620880328966472,8.183322163401675e-09,8.05263474549493e-09,23.618539287463626,0.6925698238961837
54,0.999999999771575,0.0075869071140082294,8.049709537182494e-09,7.923542833165476e-09,23.64233336314652,0.6964688873291016
55,0.9999999990863001,0.007584705183249034,1.1390118465968583e-08,1.0978224322744488e-08,23.678496076986963,0.6938861726312077
56,0.9999999990863001,0.0075646280347854795,1.335832913086319e-08,1.2658058546509345e-08,23.668145176363705,0.6928878271579743
57,0.999999999771575,0.007566876999230799,1.4646675041084636e-08,1.4814188081835256e-08,23.64780368314714,0.6967789622615366
58,0.9999999986294501,0.007576959984611251,1.694349137134561e-08,1.625044816980907e-08,23.68159552060869,0.6949688319598927
59,0.9999999968020502,0.007582558139065604,3.211601639756946e-08,3.1082279909117484e-08,23.65895085637195,0.6939520877950331
60,0.9999999956599253,0.007591722934300492,4.618814429165637e-08,4.4798075729735774e-08,23.631593425362816,0.6977637066560634
61,1.0000083918771343,0.007197836659469469,0.432256295212549,0.43576259123786754,23.631839813620523,0.6951751896914313
62,1.0,0.006546325483721888,1.0,1.0,23.689250867758478,0.6956209574727451
63,1.0,0.006576078413667793,1.0,1.0,23.676490512174304,0.6952890192761141
64,1.0,0.006532220159863641,1.0,1.0,23.597049522299976,0.6935744052073535
65,1.0,0.00663083599054974,1.0,1.0,23.698413286208382,0.6932237322190229
66,1.0,0.0064912831656144055,1.0,1.0,23.714566677028547,0.6963490725966061
67,1.0,0.006431729682459089,1.0,1.0,23.71711454486695,0.6958516301828273
68,1.0,0.006475813441803891,1.0,1.0,20.570526505039716,0.6633216846690458
69,1.0,0.0071362134460694416,1.0,1.0,23.695600035127022,0.6968049891556011
70,1.0,0.006572422957951259,1.0,1.0,23.675712815383605,0.6940227892118341
71,1.0,0.006487426660999567,1.0,1.0,23.725671316671946,0.6929922619987937
72,1.0,0.00644941350300155,1.0,1.0,23.77784890832265,0.702336819452398
73,1.0,0.006421529468438939,1.0,1.0,23.751480353646805,0.6962197197886074
74,1.0,0.006424209814139469,1.0,1.0,23.736425553366132,0.7009519882061902
75,1.0,0.006466335301583042,1.0,1.0,23.763389950408985,0.6991495419249815
76,1.0,0.006425361719071687,1.0,1.0,23.744398522321326,0.6949277457770179
77,1.0,0.006421814335811281,1.0,1.0,23.75937723822659,0.6962270296321196
78,1.0,0.006334914343353517,1.0,1.0,23.749352265166742,0.6983391254789689
79,1.0,0.006395464112904079,1.0,1.0,23.746018604656875,0.7020399634277119
80,1.0,0.006418560352399499,1.0,1.0,23.745037563251856,0.6980088059341206
81,1.0,0.006365591710332982,1.0,1.0,23.706454023054366,0.6952657722725588
82,1.0,0.006393403417380627,1.0,1.0,23.76869245691838,0.696984574654523
83,1.0,0.006368326997373276,1.0,1.0,23.771634232102432,0.6973808111863978
84,1.0,0.0064442141010554255,1.0,1.0,23.416142414393214,0.689333214970196
85,1.0,0.006456175188862992,1.0,1.0,23.782816251099774,0.6950203193636502
86,1.0,0.006327835444004057,1.0,1.0,23.788790621955663,0.7007946923901053
87,1.0,0.006507045627197998,1.0,1.0,23.775882602527805,0.6986995547659257
88,1.0,0.006322407350836399,1.0,1.0,23.790787082613114,0.697757549496258
89,1.0,0.006322506802480021,1.0,1.0,23.7663258526749,0.6945180343179141
90,1.0,0.0063756830597709035,1.0,1.0,23.787280621778212,0.7013396122175104
91,1.0,0.006290898390203536,1.0,1.0,23.79250645975116,0.6966386915655697
92,1.0,0.006287205648346397,1.0,1.0,23.805609687053067,0.7024251336209915
93,1.0,0.006293853492793922,1.0,1.0,23.804772817697696,0.7037405088368585
94,1.0,0.0062995141659846566,1.0,1.0,23.81499981366475,0.7043065502363093
95,1.0,0.006265107990203503,1.0,1.0,23.809966637626392,0.700197920518763
96,1.0,0.006304415150428425,1.0,1.0,23.171630043619192,0.6912787339266608
97,1.0,0.0063321887371604315,1.0,1.0,23.798090844480377,0.7002645257641288
98,1.0,0.0063138444605701696,1.0,1.0,23.754618051940042,0.6981429154732648
99,1.0,0.006245620160915716,1.0,1.0,23.81326591071722,0.7011769288427689
100,1.0,0.006248669611502015,1.0,1.0,23.767854843722688,0.7026294478248147
